season,hometeam,awayteam,homegoals,awaygoals
2019/2020,Bayern Munich,Hertha,2,2
2019/2020,Dortmund,Augsburg,5,1
2019/2020,Freiburg,Mainz,3,0
2019/2020,Leverkusen,Paderborn,3,2
2019/2020,Werder Bremen,Fortuna Dusseldorf,1,3
2019/2020,Wolfsburg,FC Koln,2,1
2019/2020,M'gladbach,Schalke 04,0,0
2019/2020,Ein Frankfurt,Hoffenheim,1,0
2019/2020,Union Berlin,RB Leipzig,0,4
2019/2020,FC Koln,Dortmund,1,3
2019/2020,Augsburg,Union Berlin,1,1
2019/2020,Fortuna Dusseldorf,Leverkusen,1,3
2019/2020,Hoffenheim,Werder Bremen,3,2
2019/2020,Mainz,M'gladbach,1,3
2019/2020,Paderborn,Freiburg,1,3
2019/2020,Schalke 04,Bayern Munich,0,3
2019/2020,RB Leipzig,Ein Frankfurt,2,1
2019/2020,Hertha,Wolfsburg,0,3
2019/2020,M'gladbach,RB Leipzig,1,3
2019/2020,Bayern Munich,Mainz,6,1
2019/2020,Freiburg,FC Koln,1,2
2019/2020,Leverkusen,Hoffenheim,0,0
2019/2020,Schalke 04,Hertha,3,0
2019/2020,Wolfsburg,Paderborn,1,1
2019/2020,Union Berlin,Dortmund,3,1
2019/2020,Werder Bremen,Augsburg,3,2
2019/2020,Ein Frankfurt,Fortuna Dusseldorf,2,1
2019/2020,Fortuna Dusseldorf,Wolfsburg,1,1
2019/2020,Augsburg,Ein Frankfurt,2,1
2019/2020,Dortmund,Leverkusen,4,0
2019/2020,FC Koln,M'gladbach,0,1
2019/2020,Mainz,Hertha,2,1
2019/2020,Union Berlin,Werder Bremen,1,2
2019/2020,RB Leipzig,Bayern Munich,1,1
2019/2020,Hoffenheim,Freiburg,0,3
2019/2020,Paderborn,Schalke 04,1,5
2019/2020,Schalke 04,Mainz,2,1
2019/2020,Bayern Munich,FC Koln,4,0
2019/2020,Freiburg,Augsburg,1,1
2019/2020,Hertha,Paderborn,2,1
2019/2020,Leverkusen,Union Berlin,2,0
2019/2020,Werder Bremen,RB Leipzig,0,3
2019/2020,M'gladbach,Fortuna Dusseldorf,2,1
2019/2020,Ein Frankfurt,Dortmund,2,2
2019/2020,Wolfsburg,Hoffenheim,1,1
2019/2020,Union Berlin,Ein Frankfurt,1,2
2019/2020,Augsburg,Leverkusen,0,3
2019/2020,Hoffenheim,M'gladbach,0,3
2019/2020,Mainz,Wolfsburg,0,1
2019/2020,Paderborn,Bayern Munich,2,3
2019/2020,RB Leipzig,Schalke 04,1,3
2019/2020,Dortmund,Werder Bremen,2,2
2019/2020,Fortuna Dusseldorf,Freiburg,1,2
2019/2020,FC Koln,Hertha,0,4
2019/2020,Hertha,Fortuna Dusseldorf,3,1
2019/2020,Bayern Munich,Hoffenheim,1,2
2019/2020,Freiburg,Dortmund,2,2
2019/2020,Leverkusen,RB Leipzig,1,1
2019/2020,Paderborn,Mainz,1,2
2019/2020,Schalke 04,FC Koln,1,1
