season,hometeam,awayteam,homegoals,awaygoals
2019/2020,Liverpool,Norwich,4,1
2019/2020,West Ham,Man City,0,5
2019/2020,Bournemouth,Sheffield United,1,1
2019/2020,Burnley,Southampton,3,0
2019/2020,Crystal Palace,Everton,0,0
2019/2020,Watford,Brighton,0,3
2019/2020,Tottenham,Aston Villa,3,1
2019/2020,Leicester,Wolves,0,0
2019/2020,Newcastle,Arsenal,0,1
2019/2020,Man United,Chelsea,4,0
2019/2020,Arsenal,Burnley,2,1
2019/2020,Aston Villa,Bournemouth,1,2
2019/2020,Brighton,West Ham,1,1
2019/2020,Everton,Watford,1,0
2019/2020,Norwich,Newcastle,3,1
2019/2020,Southampton,Liverpool,1,2
2019/2020,Man City,Tottenham,2,2
2019/2020,Sheffield United,Crystal Palace,1,0
2019/2020,Chelsea,Leicester,1,1
2019/2020,Wolves,Man United,1,1
2019/2020,Aston Villa,Everton,2,0
2019/2020,Norwich,Chelsea,2,3
2019/2020,Brighton,Southampton,0,2
2019/2020,Man United,Crystal Palace,1,2
2019/2020,Sheffield United,Leicester,1,2
2019/2020,Watford,West Ham,1,3
2019/2020,Liverpool,Arsenal,3,1
2019/2020,Bournemouth,Man City,1,3
2019/2020,Tottenham,Newcastle,0,1
2019/2020,Wolves,Burnley,1,1
2019/2020,Southampton,Man United,1,1
2019/2020,Chelsea,Sheffield United,2,2
2019/2020,Crystal Palace,Aston Villa,1,0
2019/2020,Leicester,Bournemouth,3,1
2019/2020,Man City,Brighton,4,0
2019/2020,Newcastle,Watford,1,1
2019/2020,West Ham,Norwich,2,0
2019/2020,Burnley,Liverpool,0,3
2019/2020,Everton,Wolves,3,2
2019/2020,Arsenal,Tottenham,2,2
2019/2020,Liverpool,Newcastle,3,1
2019/2020,Brighton,Burnley,1,1
2019/2020,Man United,Leicester,1,0
2019/2020,Sheffield United,Southampton,0,1
2019/2020,Tottenham,Crystal Palace,4,0
2019/2020,Wolves,Chelsea,2,5
2019/2020,Norwich,Man City,3,2
2019/2020,Bournemouth,Everton,3,1
2019/2020,Watford,Arsenal,2,2
2019/2020,Aston Villa,West Ham,0,0
2019/2020,Southampton,Bournemouth,1,3
2019/2020,Leicester,Tottenham,2,1
2019/2020,Burnley,Norwich,2,0
2019/2020,Everton,Sheffield United,0,2
2019/2020,Man City,Watford,8,0
2019/2020,Newcastle,Brighton,0,0
2019/2020,Crystal Palace,Wolves,1,1
2019/2020,West Ham,Man United,2,0
2019/2020,Arsenal,Aston Villa,3,2
2019/2020,Chelsea,Liverpool,1,2
2019/2020,Sheffield United,Liverpool,0,1
2019/2020,Aston Villa,Burnley,2,2
2019/2020,Bournemouth,West Ham,2,2
2019/2020,Chelsea,Brighton,2,0
2019/2020,Crystal Palace,Norwich,2,0
2019/2020,Tottenham,Southampton,2,1
2019/2020,Wolves,Watford,2,0
2019/2020,Everton,Man City,1,3
2019/2020,Leicester,Newcastle,5,0
2019/2020,Man United,Arsenal,1,1
2019/2020,Brighton,Tottenham,3,0
2019/2020,Burnley,Everton,1,0
2019/2020,Liverpool,Leicester,2,1
2019/2020,Norwich,Aston Villa,1,5
2019/2020,Watford,Sheffield United,0,0
2019/2020,West Ham,Crystal Palace,1,2
2019/2020,Arsenal,Bournemouth,1,0
2019/2020,Man City,Wolves,0,2
2019/2020,Southampton,Chelsea,1,4
2019/2020,Newcastle,Man United,1,0
2019/2020,Everton,West Ham,2,0
2019/2020,Aston Villa,Brighton,2,1
2019/2020,Bournemouth,Norwich,0,0
2019/2020,Chelsea,Newcastle,1,0
2019/2020,Leicester,Burnley,2,1
2019/2020,Tottenham,Watford,1,1
2019/2020,Wolves,Southampton,1,1
2019/2020,Crystal Palace,Man City,0,2
2019/2020,Man United,Liverpool,1,1
2019/2020,Sheffield United,Arsenal,1,0
2019/2020,Southampton,Leicester,0,9
2019/2020,Man City,Aston Villa,3,0
2019/2020,Brighton,Everton,3,2
2019/2020,Watford,Bournemouth,0,0
2019/2020,West Ham,Sheffield United,1,1
2019/2020,Burnley,Chelsea,2,4
2019/2020,Newcastle,Wolves,1,1
2019/2020,Arsenal,Crystal Palace,2,2
2019/2020,Liverpool,Tottenham,2,1
2019/2020,Norwich,Man United,1,3
2019/2020,Bournemouth,Man United,1,0
2019/2020,Arsenal,Wolves,1,1
2019/2020,Aston Villa,Liverpool,1,2
2019/2020,Brighton,Norwich,2,0
2019/2020,Man City,Southampton,2,1
2019/2020,Sheffield United,Burnley,3,0
2019/2020,West Ham,Newcastle,2,3
2019/2020,Watford,Chelsea,1,2
2019/2020,Crystal Palace,Leicester,0,2
2019/2020,Everton,Tottenham,1,1
2019/2020,Norwich,Watford,0,2
2019/2020,Chelsea,Crystal Palace,2,0
2019/2020,Burnley,West Ham,3,0
2019/2020,Newcastle,Bournemouth,2,1
2019/2020,Southampton,Everton,1,2
2019/2020,Tottenham,Sheffield United,1,1
2019/2020,Leicester,Arsenal,2,0
2019/2020,Man United,Brighton,3,1
2019/2020,Wolves,Aston Villa,2,1
2019/2020,Liverpool,Man City,3,1
2019/2020,West Ham,Tottenham,2,3
2019/2020,Arsenal,Southampton,2,2
2019/2020,Bournemouth,Wolves,1,2
2019/2020,Brighton,Leicester,0,2
2019/2020,Crystal Palace,Liverpool,1,2
2019/2020,Everton,Norwich,0,2
2019/2020,Watford,Burnley,0,3
2019/2020,Man City,Chelsea,2,1
2019/2020,Sheffield United,Man United,3,3
2019/2020,Aston Villa,Newcastle,2,0
2019/2020,Newcastle,Man City,2,2
2019/2020,Burnley,Crystal Palace,0,2
2019/2020,Chelsea,West Ham,0,1
2019/2020,Liverpool,Brighton,2,1
2019/2020,Tottenham,Bournemouth,3,2
2019/2020,Southampton,Watford,2,1
2019/2020,Norwich,Arsenal,2,2
2019/2020,Wolves,Sheffield United,1,1
2019/2020,Leicester,Everton,2,1
2019/2020,Man United,Aston Villa,2,2
2019/2020,Crystal Palace,Bournemouth,1,0
2019/2020,Burnley,Man City,1,4
2019/2020,Chelsea,Aston Villa,2,1
2019/2020,Leicester,Watford,2,0
2019/2020,Man United,Tottenham,2,1
2019/2020,Southampton,Norwich,2,1
2019/2020,Wolves,West Ham,2,0
2019/2020,Liverpool,Everton,5,2
2019/2020,Sheffield United,Newcastle,0,2
2019/2020,Arsenal,Brighton,1,2
2019/2020,Everton,Chelsea,3,1
2019/2020,Bournemouth,Liverpool,0,3
2019/2020,Tottenham,Burnley,5,0
2019/2020,Watford,Crystal Palace,0,0
2019/2020,Man City,Man United,1,2
2019/2020,Aston Villa,Leicester,1,4
2019/2020,Newcastle,Southampton,2,1
2019/2020,Norwich,Sheffield United,1,2
2019/2020,Brighton,Wolves,2,2
2019/2020,West Ham,Arsenal,1,3
2019/2020,Liverpool,Watford,2,0
2019/2020,Burnley,Newcastle,1,0
2019/2020,Chelsea,Bournemouth,0,1
2019/2020,Leicester,Norwich,1,1
2019/2020,Sheffield United,Aston Villa,2,0
2019/2020,Southampton,West Ham,0,1
2019/2020,Man United,Everton,1,1
