season,HomeTeam,AwayTeam,FTHG,FTAG
2019,C-Osaka,Kobe,1,0
2019,Hiroshima,Shimizu,1,1
2019,Kawasaki Frontale,FC Tokyo,0,0
2019,Sagan Tosu,Nagoya,0,4
2019,Vegalta Sendai,Urawa,0,0
2019,G-Osaka,Yokohama M.,2,3
2019,Iwata,Yamaga,1,1
2019,Kashima,Oita,1,2
2019,Shonan,Sapporo,2,0
2019,Hiroshima,Iwata,0,0
2019,Kawasaki Frontale,Kashima,1,1
2019,Yokohama M.,Vegalta Sendai,2,1
2019,Nagoya,C-Osaka,2,0
2019,Shimizu,G-Osaka,2,4
2019,Kobe,Sagan Tosu,1,0
2019,Oita,Yamaga,0,1
2019,Shonan,FC Tokyo,2,3
2019,Urawa,Sapporo,0,2
2019,Sapporo,Shimizu,5,2
2019,Yamaga,Urawa,0,1
2019,G-Osaka,Nagoya,2,3
2019,Iwata,Oita,1,2
2019,C-Osaka,Hiroshima,0,1
2019,Kashima,Shonan,1,0
2019,FC Tokyo,Sagan Tosu,2,0
2019,Vegalta Sendai,Kobe,1,3
2019,Yokohama M.,Kawasaki Frontale,2,2
2019,Sagan Tosu,Iwata,1,0
2019,FC Tokyo,Nagoya,1,0
2019,Kobe,Shimizu,1,1
2019,Sapporo,Kashima,1,3
2019,C-Osaka,Urawa,1,2
2019,Hiroshima,Yamaga,1,0
2019,Kawasaki Frontale,G-Osaka,0,1
2019,Oita,Yokohama M.,2,0
2019,Shonan,Vegalta Sendai,2,1
2019,Yokohama M.,Sagan Tosu,0,0
2019,Nagoya,Sapporo,4,0
2019,Urawa,FC Tokyo,1,1
2019,Vegalta Sendai,C-Osaka,0,2
2019,Iwata,Kashima,1,1
2019,G-Osaka,Kobe,3,4
2019,Oita,Hiroshima,0,1
2019,Shimizu,Shonan,1,3
2019,Yamaga,Kawasaki Frontale,0,2
2019,Kashima,Nagoya,2,1
2019,Kawasaki Frontale,C-Osaka,1,1
2019,Urawa,Yokohama M.,0,3
2019,Sapporo,Oita,1,2
2019,FC Tokyo,Shimizu,2,1
2019,Hiroshima,G-Osaka,3,0
2019,Vegalta Sendai,Sagan Tosu,3,0
2019,Shonan,Iwata,0,2
2019,Yamaga,Kobe,2,1
2019,C-Osaka,Sapporo,0,1
2019,Yokohama M.,Nagoya,1,1
2019,FC Tokyo,Kashima,3,1
2019,Sagan Tosu,Kawasaki Frontale,0,1
2019,Iwata,Shimizu,1,2
2019,G-Osaka,Urawa,0,1
2019,Kobe,Hiroshima,2,4
2019,Oita,Vegalta Sendai,2,0
2019,Shonan,Yamaga,1,1
2019,Hiroshima,FC Tokyo,0,1
2019,Kawasaki Frontale,Shonan,2,0
2019,Sapporo,Yokohama M.,3,0
2019,Urawa,Kobe,1,0
2019,Nagoya,Iwata,1,0
2019,Yamaga,Sagan Tosu,1,0
2019,Kashima,Vegalta Sendai,1,0
2019,Shimizu,C-Osaka,1,0
2019,G-Osaka,Oita,1,1
2019,C-Osaka,Oita,0,0
2019,Vegalta Sendai,G-Osaka,2,1
2019,Yokohama M.,Kashima,2,1
2019,FC Tokyo,Yamaga,2,0
2019,Kobe,Kawasaki Frontale,1,2
2019,Sagan Tosu,Shonan,0,2
2019,Iwata,Sapporo,1,2
2019,Nagoya,Hiroshima,1,0
2019,Shimizu,Urawa,0,2
2019,Hiroshima,Yokohama M.,0,1
2019,Urawa,Iwata,0,1
2019,Kashima,Shimizu,3,0
2019,Kawasaki Frontale,Vegalta Sendai,3,1
2019,Sapporo,Kobe,2,1
2019,Yamaga,C-Osaka,0,2
2019,G-Osaka,FC Tokyo,0,0
2019,Oita,Sagan Tosu,2,0
2019,Shonan,Nagoya,1,1
2019,Sagan Tosu,G-Osaka,3,1
2019,C-Osaka,Yokohama M.,3,0
2019,Yamaga,Sapporo,0,0
2019,Vegalta Sendai,Hiroshima,2,1
2019,FC Tokyo,Iwata,1,0
2019,Kobe,Kashima,0,1
2019,Shimizu,Kawasaki Frontale,0,4
2019,Nagoya,Urawa,2,0
2019,Shonan,Oita,0,1
2019,Hiroshima,Sagan Tosu,0,1
2019,Kawasaki Frontale,Nagoya,1,1
2019,Urawa,Shonan,2,3
2019,FC Tokyo,Sapporo,2,0
2019,Iwata,Vegalta Sendai,2,0
2019,Yokohama M.,Kobe,4,1
2019,Kashima,Yamaga,5,0
2019,Oita,Shimizu,1,1
2019,G-Osaka,C-Osaka,1,0
2019,Sapporo,G-Osaka,0,0
2019,Shimizu,Vegalta Sendai,4,3
2019,C-Osaka,FC Tokyo,1,0
2019,Yokohama M.,Iwata,4,0
2019,Sagan Tosu,Kashima,1,0
2019,Urawa,Hiroshima,0,4
2019,Kobe,Shonan,4,1
2019,Nagoya,Yamaga,0,1
2019,Oita,Kawasaki Frontale,0,1
2019,Shonan,Yokohama M.,1,2
2019,FC Tokyo,Oita,3,1
2019,Sapporo,Hiroshima,1,0
2019,Vegalta Sendai,Nagoya,3,1
2019,Iwata,Kobe,1,1
2019,Sagan Tosu,C-Osaka,0,1
2019,Yamaga,Shimizu,1,1
2019,G-Osaka,Kashima,1,1
2019,Kawasaki Frontale,Urawa,1,1
2019,Hiroshima,Shonan,2,0
2019,Kashima,C-Osaka,2,0
2019,Kawasaki Frontale,Sapporo,1,1
2019,Shimizu,Yokohama M.,3,2
2019,FC Tokyo,Kobe,0,1
2019,Iwata,G-Osaka,0,0
2019,Oita,Nagoya,1,1
2019,Urawa,Sagan Tosu,2,1
2019,Yamaga,Vegalta Sendai,0,1
2019,Sapporo,Sagan Tosu,3,1
2019,Kobe,Oita,2,2
2019,Yokohama M.,Yamaga,1,0
2019,C-Osaka,Iwata,2,0
2019,G-Osaka,Shonan,1,0
2019,Nagoya,Shimizu,1,2
2019,Vegalta Sendai,FC Tokyo,2,0
2019,Yamaga,G-Osaka,1,3
2019,FC Tokyo,Yokohama M.,4,2
2019,Kobe,Nagoya,5,3
2019,Kashima,Hiroshima,2,2
2019,Iwata,Kawasaki Frontale,1,3
2019,Oita,Urawa,2,0
2019,Shonan,C-Osaka,0,2
2019,Vegalta Sendai,Sapporo,2,1
2019,Sagan Tosu,Shimizu,4,2
2019,Shimizu,Kobe,2,1
2019,Hiroshima,C-Osaka,1,1
2019,Kashima,Iwata,2,0
2019,Urawa,Vegalta Sendai,1,0
2019,Yokohama M.,Oita,1,0
2019,Sapporo,Yamaga,1,1
2019,Nagoya,Shonan,0,2
2019,FC Tokyo,G-Osaka,3,1
2019,Kawasaki Frontale,Sagan Tosu,0,0
2019,Yamaga,Iwata,0,1
2019,C-Osaka,Nagoya,3,0
2019,G-Osaka,Shimizu,1,0
2019,Oita,Sapporo,2,1
2019,Vegalta Sendai,Kashima,0,4
2019,Yokohama M.,Urawa,3,1
2019,Sagan Tosu,Hiroshima,0,2
2019,FC Tokyo,Kawasaki Frontale,0,3
2019,Shonan,Kobe,3,1
2019,Sapporo,Shonan,5,2
2019,Kobe,Yokohama M.,0,2
2019,Nagoya,G-Osaka,2,2
2019,Yamaga,Hiroshima,2,2
2019,Kashima,Sagan Tosu,2,1
2019,C-Osaka,Vegalta Sendai,0,0
2019,Iwata,Urawa,1,3
2019,Shimizu,FC Tokyo,0,2
2019,Kawasaki Frontale,Oita,3,1
2019,Urawa,Kashima,1,1
2019,Hiroshima,Kawasaki Frontale,3,2
2019,Kobe,G-Osaka,2,2
2019,FC Tokyo,C-Osaka,3,0
2019,Hiroshima,Sapporo,1,0
2019,Shonan,Kashima,3,2
2019,Vegalta Sendai,Iwata,2,1
2019,Yokohama M.,Shimizu,0,1
2019,Kawasaki Frontale,Yamaga,0,0
2019,Urawa,Nagoya,2,2
2019,Sagan Tosu,Oita,2,2
2019,Sapporo,Urawa,1,1
2019,Shimizu,Yamaga,1,0
2019,Kashima,Yokohama M.,2,1
2019,FC Tokyo,Vegalta Sendai,1,0
2019,G-Osaka,Hiroshima,1,1
2019,Nagoya,Kawasaki Frontale,3,0
2019,Oita,Kobe,1,1
2019,C-Osaka,Sagan Tosu,1,2
2019,Iwata,Shonan,2,3
2019,Shimizu,Sapporo,0,8
2019,FC Tokyo,Hiroshima,0,1
2019,Kobe,Urawa,3,0
2019,Oita,Kashima,0,1
2019,Shonan,Sagan Tosu,2,3
2019,Vegalta Sendai,Kawasaki Frontale,2,2
2019,Yokohama M.,C-Osaka,1,2
2019,Yamaga,Nagoya,1,1
2019,G-Osaka,Iwata,1,1
2019,Kashima,G-Osaka,2,2
2019,Sagan Tosu,Kobe,1,6
2019,Urawa,Yamaga,1,2
2019,Sapporo,FC Tokyo,1,1
2019,Nagoya,Yokohama M.,1,5
2019,Hiroshima,Oita,0,0
2019,Iwata,C-Osaka,0,2
2019,Kawasaki Frontale,Shimizu,2,2
2019,Vegalta Sendai,Shonan,1,1
2019,Nagoya,FC Tokyo,1,2
2019,Iwata,Hiroshima,0,2
2019,Kobe,Sapporo,2,3
2019,Yamaga,Oita,0,0
2019,Yokohama M.,G-Osaka,3,1
2019,Sagan Tosu,Vegalta Sendai,2,1
2019,C-Osaka,Kawasaki Frontale,2,1
2019,Shimizu,Kashima,0,4
2019,Shonan,Urawa,1,1
2019,Shimizu,Nagoya,3,2
2019,Urawa,C-Osaka,1,2
2019,Sapporo,Vegalta Sendai,1,3
2019,Oita,Shonan,2,1
2019,G-Osaka,Sagan Tosu,1,0
2019,Kashima,FC Tokyo,2,0
2019,Kawasaki Frontale,Iwata,2,0
2019,Kobe,Yamaga,2,1
2019,Yokohama M.,Hiroshima,3,0
2019,C-Osaka,G-Osaka,3,1
2019,Sagan Tosu,Urawa,3,3
2019,Kashima,Sapporo,1,1
2019,Kawasaki Frontale,Kobe,1,2
2019,Oita,Iwata,1,2
2019,Hiroshima,Nagoya,1,1
2019,Vegalta Sendai,Yokohama M.,1,1
2019,Yamaga,FC Tokyo,0,0
2019,Shonan,Shimizu,0,6
2019,G-Osaka,Sapporo,5,0
2019,Iwata,Yokohama M.,0,2
2019,Nagoya,Oita,1,1
2019,Sagan Tosu,FC Tokyo,2,1
2019,Vegalta Sendai,Yamaga,0,1
2019,Hiroshima,Kobe,6,2
2019,C-Osaka,Kashima,0,1
2019,Urawa,Shimizu,2,1
2019,Shonan,Kawasaki Frontale,0,5
2019,Sapporo,C-Osaka,0,1
2019,Yamaga,Kashima,1,1
2019,Urawa,Oita,0,1
2019,Kobe,FC Tokyo,1,3
2019,G-Osaka,Kawasaki Frontale,2,2
2019,Nagoya,Vegalta Sendai,0,2
2019,Shimizu,Hiroshima,1,2
2019,Yokohama M.,Shonan,3,1
2019,Iwata,Sagan Tosu,2,2
2019,Hiroshima,Urawa,1,1
2019,Kashima,Urawa,1,0
2019,Kobe,Vegalta Sendai,2,0
2019,Sagan Tosu,Yokohama M.,1,2
2019,Sapporo,Nagoya,3,0
2019,Shimizu,Iwata,1,2
2019,C-Osaka,Yamaga,1,1
2019,Kawasaki Frontale,Hiroshima,2,1
2019,Oita,FC Tokyo,0,2
2019,Shonan,G-Osaka,0,3
2019,Urawa,Kawasaki Frontale,0,2
2019,Iwata,FC Tokyo,0,1
2019,Kashima,Kawasaki Frontale,0,2
2019,Nagoya,Kobe,3,0
2019,Yokohama M.,Sapporo,4,2
2019,C-Osaka,Shonan,1,0
2019,Vegalta Sendai,Shimizu,2,0
2019,Oita,G-Osaka,2,1
2019,Sagan Tosu,Yamaga,1,0
2019,Kobe,C-Osaka,1,0
2019,FC Tokyo,Shonan,1,1
2019,Hiroshima,Kashima,0,0
2019,Nagoya,Sagan Tosu,0,0
2019,Sapporo,Iwata,1,2
2019,Shimizu,Oita,1,1
2019,Yamaga,Yokohama M.,0,1
2019,G-Osaka,Vegalta Sendai,2,0
2019,C-Osaka,Shimizu,2,1
2019,FC Tokyo,Urawa,1,1
2019,G-Osaka,Yamaga,4,1
2019,Iwata,Nagoya,2,1
2019,Kashima,Kobe,1,3
2019,Kawasaki Frontale,Yokohama M.,1,4
2019,Sagan Tosu,Sapporo,0,2
2019,Shonan,Hiroshima,1,0
2019,Vegalta Sendai,Oita,2,0
2019,Omiya Ardija,Montedio Yamagata,0,2
2019,Tokushima,Kofu,1,1
2019,Hiroshima,Vegalta Sendai,1,0
2019,Kobe,Iwata,4,1
2019,Nagoya,Kashima,0,1
2019,Oita,C-Osaka,0,2
2019,Sapporo,Kawasaki Frontale,1,2
2019,Shimizu,Sagan Tosu,1,0
